title,year
Flawless,2015
Initial D,1995
Akuyaku Reijou Level 99: Watashi wa Urabosu Desu ga Maou de wa Arimasen,2020
The Celestial Returned from Hell,2021
Wandering Son,2002
Fate/Zero (Light Novel),2006
Cardcaptor Sakura,1996
How I Found It in July,2018
Global Examination,2020
The World is Still Beautiful,2009
Green Apple Paradise,2018
Taming the Tiger,2021
Veil,2019
Villainess in Love,2019
Touhou Ibara Kasen: Wild and Horned Hermit.,2010
Finder,2001
The Elixir of the Sun,2020
Flow - Part 3,2014
Dusk Maiden of Amnesia,2008
Feng Shen Ji - Part 3,2012
The Sound of Your Voice,2018
Possessing Nothing,2022
The White Cat's Revenge as Plotted from the Dragon King's Lap,2017
When The Count’s Illegitimate Daughter Gets Married (Novel),2020
Ascendance of a Bookworm - Part 1,2015
Ten Count,2013
Cheese in the Trap,2010
The Seven Deadly Sins: Seven Days,2017
The Marriage Business,2022
Magician - Part 2,2011
Ghost Hunt,1997
Annarasumanara,2010
Bloody Sweet,2014
"Megane, Tokidoki, Yankee-kun",2021
I Hear the Sunspot: Theory of Happiness,2015
Doctor's Rebirth,2021
God of Blackfield - Part 2,2021
Happy Cafe,2004
Love Me Doctor! - Specials,2021
How to Get My Husband on My Side,2021
The Gamer,2013
Kyou kara Ore wa!!,1988
The Frozen Player Returns,2021
Three Brothers,2021
Kubo Won't Let Me Be Invisible,2019
Super Secret,2015
The House Without Time,2020
The Kawai Complex Guide to Manors and Hostel Behavior,2010
Black Jack,1973
Maou no Musume wa Yasashi Sugiru!!,2019
A Loving Existence,2020
Shaman King Kang Zeng Bang,2008
My Love Story!!,2011
Tsubasa: Reservoir Chronicle,2003
My Girl (Mizu SAHARA),2007
Overlord: The Vampire Princess of the Lost Country (Light Novel),2019
Kyuujitsu no Warumono-san,2018
The New Gate,2014
Who Invited You?,2016
The Garden of Words (Novel),2014
Akumetsu,2002
Bungo Stray Dogs: Wan!,2015
Barefoot Gen,1972
Gradually Close to the Heart,2018
Days of Hana,2017
Someday I'll Fall for You,2017
He Can't Be This Dumb!,2021
The One,2005
Re:Monster,2014
Douluo Dalu 4: Zhongji Douluo,2019
A Life Without You,2020
Touch to Unlock,2019
The God & the Flightless Messenger,2018
Liar Game,2005
Touch Your World,2020
Karina's Last Days (Novel),2019
The Irregular at Magic High School: Double Seven Arc,2016
My Underachieving Seatmate Doesn’t Need Any Comforting (Novel),2019
