title,year
"Father, I Don't Want This Marriage",2021
Sha Po Lang (Novel),2015
Hori-san to Miyamura-kun,2007
Secret Love,2020
No Doubt in Us,2016
Minato Shouji Coin Laundry,2019
The Best Smell,2016
Your Secret Keeper,2021
SAYE,2021
Lucky Guy,2019
Ookami-sama no Koiwazurai,2020
"I'm the Villainess, So I'm Taming the Final Boss",2018
Buddha,1972
Baby Steps,2007
Daytime Shooting Star,2011
Naruto,1999
Ending Maker (Novel),2019
"Please Marry Me Again, Husband!",2021
The Legend of Zelda: Twilight Princess,2016
"You’ve Got The Wrong House, Villain (Novel)",2019
Ascendance of a Bookworm - Part 3,2018
Kikaiji Kake no Marie,2020
Chihayafuru,2007
Saving My Sweetheart,2021
My Summer of You,2017
Fairy Tail: 100 Years Quest,2018
Pharaoh's Concubine,2015
I Found a Husband When I Picked up the Male Lead,2022
The Lady with a Mask,2018
The Boy and The Beast,2015
How to Live as the Enemy Prince (Novel),2018
Light and Shadow (Novel),2011
Avatar: The Last Airbender - The Search,2013
A Man's Man,2020
Sacrificial Princess and the King of Beasts,2015
Chichi to Hige Gorira to Watashi,2011
Case Closed,1994
Scents of Seasons: Late Blossom,2018
My Stepmother's Friends,2020
The Quintessential Quintuplets,2017
I’m the Max-Level Newbie,2021
Ranking of Kings,2017
Get Out of My House!,2021
Motoyan Papa to Hitsuji-sensei: Yotsuba,2018
Covenant,2020
Jishou Akuyaku Reijou na Konyakusha no Kansatsu Kiroku (Light Novel),2017
Kuma Kuma Kuma Bear (Light Novel),2015
"Please Bully Me, Miss Villainess!",2021
Cheeky Brat,2013
Kakeochi Girl,2018
Zense Coupling,2018
Bakemonogatari,2018
The Undefeatable Swordsman,2020
Noragami: Stray Stories,2011
Fairy Tail Zero,2014
What Does the Fox Say?,2015
Higurashi When They Cry: Curse Killing Arc,2005
I'm in Love with the Villainess,2020
Scream Queen,2020
My Husband is Suffering from a Terminal Illness (Novel),2019
Viral Hit,2016
Innocent,2013
Berserk: Shinen no Kami,1996
"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",2019
I Cannot Reach You,2018
Kuma Kuma Kuma Bear,2018
Lucifer and the Biscuit Hammer,2005
Sweetness and Lightning,2013
Hell & High Water,2017
Miss Abbott and the Doctor,2016
Yu Yu Hakusho,1990
Hikaru ga Shinda Natsu,2021
The Hero Is Overpowered But Overly Cautious (Light Novel),2017
Remnants of Filth (Novel),2018
Efforts Never Betray,2020
I Raised an Obsessive Servant (Novel),2018
Aoashi,2015
Noblesse S (Novel),2010
Southern Bird and Northern Bird,2019
Accidentally Heavenly Match,2022
The Blood of Madam Giselle,2019
Wolf Butler and His Cat Master,2020
Alien in My Wardrobe,2020
Manager Kim,2021
Girls und Panzer: Ribbon no Musha,2014
Imitation - Part 2,2015
Kodocha: Sana's Stage,1994
Under the Oak Tree,2020
The Disabled Tyrant’s Pet Palm Fish (Novel),2020
Jinrui wo Metsubou Sasete wa Ikemasen,2020
Teito Seihai Kitan: Fate/type Redline,2019
Giji-Harem,2018
Amayo no Tsuki,2021
Lion Gotoki no Kuni kara,2020
Shinigami ni Sodaterareta Shoujo wa Shikkoku no Ken wo Mune ni Idaku,2019
Boarding School Juliet,2015
Asagao wa Yoru kara Saku,2019
Her Majesty's Swarm,2020
A Good Day to be a Dog - Specials,2019
"Maou ni Natta node, Dungeon Tsukutte Jingai Musume to Honobono suru (Light Novel)",2017
Tonari no Metaller-san,2019
The Lady and Her Butler,2017
"Ryuusa no Ori: Kokoro no Naka no ""Kokoro""",2021
Blood Link - Part 2,2019
My Whole Family Are Villains (Novel),2020
Fullmetal Alchemist (Light Novel),2003
Keeper of the Pearl - Specials,2019
Mars,1996
Against the Gods (Novel),2014
Mondai-Ji-tachi ga Isekai Kara Kuru Sou Desu yo? (Light Novel),2011
Tanaka-kun wa Itsumo Kedaruge,2013
Hatsukoi (Rai KAZUKI),2016
Empress Cesia Wears Knickerbockers,2020
Billy Bat,2008
Clear and Muddy Loss of Love (Novel),2019
Murderous Lewellyn’s Candlelit Dinner,2020
"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",2019
Shitsuji-dono no Ai Neko,2018
Guang Xiang,2015
Psyren,2007
"Akuyaku Reijou wa, Shomin ni Totsugitai!! (Light Novel)",2018
Bloody Sweet - Part 2,2017
Tale of a Scribe Who Retires to the Countryside - Part 2,2021
Shutline,2021
My Dad Is Too Strong,2020
I'm More Dangerous Than You,2020
Martial Peak,2017
Shin'ai naru A-jou e no Mystery,2016
Hatsukoi Maze,2020
Gosu,2015
Lion Gotoki no Kuni kara after story,2020
Mesmerizing Ghost Doctor,2017
Sono Koi wa Ichigo no Youni,2018
Yuzuki-san Chi no Yon Kyoudai.,2018
Whale Star: The Gyeongseong Mermaid,2019
Moon,2007
Girl Friends,2006
Ascend,2017
Memorize,2020
Tsukimichi: Moonlit Fantasy,2015
Saint Seiya: The Lost Canvas,2006
A Man of Virtue,2018
Blue Exorcist,2009
The Seven Deadly Sins,2012
Banana Scandal - Part 2,2020
Versatile Mage (Novel),2015
Beauty and the Beast Girl (Doujinshi),2016
The Lady and the Beast,2020
Kimi no Sumire,2019
This Witch of Mine,2015
Doughnuts Under a Crescent Moon,2019
I Woke Up as the Villain,2020
Principles of Heavens,2015
Otherside Picnic: Their Strange Exploration Files (Light Novel),2017
Dokgo,2012
Magical Boy,2019
Stringing You Along,2017
Saiyuki Reload,2002
I Think Our Son Is Gay,2019
The Insatiable Man,2021
My Dearest Self With Malice Aforethought,2018
An Unseemly Lady (Novel),2020
Ran the Peerless Beauty,2017
Majin Tantei Nougami Neuro,2005
Rumspringa no Joukei,2017
Feng Shen Ji - Part 2,2011
Martial Universe,2013
Mr. A and Mr. B,2017
Avatar: The Last Airbender - North and South,2016
Mission: Yozakura Family,2019
A Returner's Magic Should Be Special (Novel),2016
Ace of the Diamond,2006
The Taming of the Tyrant,2021
How to Be a Dark Hero's Daughter (Novel),2019
Jungle Juice,2020
Soul Eater,2003
The Cat Proposed,2019
"See, Hear, Love",2010
The Makeup Remover,2018
Kisses x Kiss x Kisses,2017
Hana ni Arashi,2017
"Bad Boys, Happy Home",2018
I'm in Love with the Villainess (Light Novel),2019
"Once Again Into The Light, Alone (Novel)",2019
My Little Monster,2008
Frankenstein: Junji Ito Story Collection,1990
Yamamoto Zenjirou to Moushimasu,2007
My Young Cat and My Old Dog,2011
The Book Eating Magician (Novel),2017
Blood Link,2018
Cupid is Struck by Lightning,2017
Accomplishments of the Duke’s Daughter,2015
Perfect Secret Love: The Bad New Wife Is A Little Sweet,2019
Sachiiro no One Room Gaiden: Seikai No Meitantei,2019
Bokutachi wa Mada Aoku,2019
Farmer of Spirits,2020
Starts From Baby - Part 2,2018
Hinadori wa Shiokaze ni Madoromu,2018
Meccha Shoukan Sareta Ken,2020
A Transmigrator's Privilege,2022
Rekishi ni Nokoru Akujo ni Naru zo: Akuyaku Reijou ni naru hodo Ouji no Dekiai wa Kasoku suru you desu!,2020
My Boss's Special Request,2021
The Legendary Spearman Returns,2021
Love Curiosity: Hades x Persephone,2019
They Say I'm Broke,2020
Caught by the Villain,2020
Truth or Dare - Part 2,2019
Painter of the Night,2019
Mashle: Magic and Muscles,2020
Atarashii Joushi wa Dotennen,2019
Innocent Rouge,2015
Transmigrating To Become The Boss’s Little Fairy (Novel),2019
Kouten-bu Series (Novel),2001
Link and Ring,2016
Joy,2018
Reverend Insanity,2018
Library of Heaven’s Path (Novel),2016
Apocalypse Online,2020
Brainless Witch,2019
Living As the Villainess Queen (Novel),2019
Mother's Spirit,2014
My Royal Awakening,2020
The Wife is First (Novel),2013
The Dummy's Dummy,2022
Toradora!,2007
Naruto True Story (Light Novel),2015
Misaki-kun no Bukiyou na Dekinai,2021
"Kiyoku, Yamashiku, Modokashiku.",2020
Heroic Death System (Novel),2016
A Chance At Last,2021
Pokémon Adventures,1997
Mob Psycho 100: Reigen,2018
Uzumaki: Spiral into Horror,1998
Pian Pian,2019
Princess Mononoke,1997
Trigun Maximum,1998
Gushing over Magical Girls,2019
Tomo-chan is a Girl!,2015
Reincarnated as the Last of My Kind (Light Novel),2020
"The Tale of Goldiluck, the Black Kitten",2020
Bokura no Tsuzuki,2019
Guide To Raising the Sick Villain (Novel),2019
Same School Friend,2021
Blade of the Immortal,1993
Melvina's Therapy,2017
Yomawari-sensei,2004
Imitation - Part 3,2017
Battle Through the Heavens (Novel),2009
Hakkenden: Eight Dogs of the East,2005
Arifureta: From Commonplace to World's Strongest,2016
Dam of the Forest,2019
Taste of Illness,2018
Lady Baby,2018
ASURA (Handol),2016
Hardcore Leveling Warrior - Part 2,2019
Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,2020
It's Just a Dream...Right?!,2021
Tenshi dattara Yokatta,2021
Release That Witch,2017
Dokgo 2,2016
Black Clover,2015
The Second Coming of Gluttony,2019
This Villainess Wants a Divorce!,2018
My Partner's Tastes and Fetishes - Specials,2020
Noraneko to Ookami,2019
Hell Mode: The Hardcore Gamer Dominates in Another World with Garbage Balancing,2020
Seven Days,2007
Jazz for Two - Specials,2019
Cursed Princess Club,2019
The Strange Tales of Oscar Zahn,2016
Cry for Me - Part 2,2018
4 Cut Hero,2014
Re:ZERO -Starting Life in Another World- Chapter 3: Truth of Zero,2015
Precious Daughter of the Greatest Martial Arts Villain,2021
Gantz,2000
Tong - Part 2,2016
Gohan no Otomo,2015
Sweet Bite Marks - Part 3,2018
Beast's Storm: Hug Me Baby!,2019
The Enigma of Amigara Fault,2000
Dungeon Defense (Novel),2014
Kami-sama no Iutoori  2,2017
Hero Killer (Kkulbeol),2021
Solanin,2005
Basara,1991
Lightning and Romance,2021
Demon Slayer: Kimetsu no Yaiba - Stories of Water and Flame,2019
Koori Zokusei Danshi to Cool na Douryou Joshi,2018
Ookami-kun wa Hanasanai,2020
Sanctuary,1990
My S-Class Hunters,2021
Tsuki no Oki ni Mesu mama,2018
Usemono Yado,2014
Mujang,2012
Mad Place,2021
Umineko WHEN THEY CRY Episode 5: End of the Golden Witch,2010
Be Blues! Ao ni Nare,2011
How to Snag an Alpha,2019
GATE: Where the JSDF Fought (Light Novel),2010
Jackson's Diary,2021
"Watashi ga Koibito ni Nareru Wake Naijan, Murimuri! (Muri Janakatta!?)",2020
"Akuyaku Reijou wa, Shomin ni Totsugitai!!",2018
Yuru Yuri,2008
Very Happy (Novel),2019
Itsuwari no Ai wo Haramu,2018
Hana and the Beast Man,2018
I Became the Male Lead’s Adopted Daughter (Novel),2020
Tsukimonogatari: Possession Tale (Light Novel),2012
Alter Ego,2020
Shota Oni,2021
Nekomonogatari: Cat Tale (Light Novel),2010
Straight Girl Trap,2020
Fullmetal Alchemist Gaiden,2010
Taming Master (Novel),2016
Kawaii Hito (Ken SAITOU),2014
The Swordmaster's Son (Novel),2019
Asobi Asobase,2015
"Onna Doushi toka Arienai Desho to Iiharu Onnanoko wo, Hyakunichikan de Tetteiteki ni Otosu Yuri no Ohanashi",2020
In This Corner of the World,2007
Marry My Husband,2021
Arifureta: From Commonplace to World's Strongest (Light Novel),2015
Invincible at the Start,2021
The Earth is Online (Novel),2017
My Gently Raised Beast (Novel),2019
Descending Stories: Showa Genroku Rakugo Shinju,2010
Gepetto - Part 2,2013
Nichijou: My Ordinary Life,2006
Angel Beats! Heaven's Door,2010
Seitokai Yakuindomo,2007
Genshiken,2002
Love of Kill,2015
The Symbiotic Relationship Between the Rabbit and the Black Panther (Novel),2019
Martial World (Novel),2012
Mystical,2020
Capeta,2003
Death March to the Parallel World Rhapsody (Light Novel),2014
Faraway Wanderers (Novel),2010
"Go For It, Nakamura!",2014
Indigo Blue Gradation,2017
Yamada-kun to Lv999 no Koi wo Suru,2019
Anemone wa Netsu wo Obiru,2020
Stagtown,2021
Attack on Titan: End of the World (Light Novel),2015
Desolate Era (Novel),2014
Saphie: The One-Eyed Cat,2016
Golden Sparkle,2018
Yamada-kun and the Seven Witches,2012
Sleepy Princess in the Demon Castle,2016
Citrus+,2018
Hotel Phryne,2019
Radiation House,2015
One Piece: Strong World,2009
Engineering Beauties,2021
Hammer Session!,2006
Karakai Jouzu no (Moto) Takagi-san,2017
Bleach (2021),2021
Shotgun Boy,2021
Umineko WHEN THEY CRY Episode 6: Dawn of the Golden Witch,2010
Interview with a Murderer (Queensa),2018
Max Mojave's Case,2020
Don’t Pick Up Boyfriends From the Trash Bin (Novel),2018
The Spooky Love Tale of Gongchan Seol,2020
A Talented Maid,2019
Bromance,2016
Please Call Me Red Panda,2018
MADK,2017
Chongaereul Geojeolhaneunde Wae Jipchakanayo,2020
Seraph of the End,2012
A Good Day to Go Crazy,2018
Hige to Suzu to Shabondama,2018
A Good Day to Go Crazy: Side Stories,2019
Fate Makes No Mistakes,2019
Prison Life is Easy for a Villainess,2019
Shonan Junai Gumi,1990
Umineko WHEN THEY CRY Episode 3: Banquet of the Golden Witch,2009
Glass Mask,1975
Kemono Jihen,2016
All Colors of Snow,2020
Seirei Gensouki: Spirit Chronicles (Light Novel),2015
To Take an Enemy's Heart,2013
My Husband With Scholar Syndrome (Novel),2019
Fullmetal Alchemist 0,2017
Castle in the Sky,1986
For Better or for Worse,2020
Cat Street,2005
From Points of Three: Side Story,2019
Futarigurashi,2020
The Crazy Adventures of Mystical Doctor,2018
Gambling Apocalypse Kaiji,1996
Akumu no Sumu Ie: Ghost Hunt,2012
Log Horizon (Light Novel),2011
Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,2019
My Hero Academia: School Briefs (Light Novel),2016
Rental Onii-chan,2017
The Greatest Wolf of My Life,2017
Moon You,2016
Tong,2015
Saiyuki Gaiden,2000
Is it Wrong to Try to Pick Up Girls in a Dungeon?,2013
Cocoon of the Heart,2017
Yowamushi Pedal,2008
The Demonic Contract,2021
The Max Level Hero Strikes Back,2020
This Wonderful Season With You,2018
The Story of a Low-Rank Soldier Becoming a Monarch,2020
The Grand Mudang Saga,2020
Feng Shen Ji,2010
Higurashi When They Cry: Massacre Arc,2008
Dasadanan,2017
Once Again Idol,2021
Jinjuu Houretsuden,1997
Tsukihime,2003
Arte,2013
Shana Ou Yoshitsune,2001
Shiori Experience: Jimi na Watashi to Hen na Oji-san,2013
I Will Make an Effort to Change the Genre (Novel),2018
My Imperial Guard Boyfriend - Part 2,2018
Ran and the Gray World,2008
Eto Irokoi-zoushi: Mitsugetsu no Shou,2017
Takane & Hana,2014
Clean with Passion for Now,2013
Avatar: The Last Airbender - The Promise,2012
Spring Snow (Odongtong),2017
The Ruler of the Land,1995
Truth or Dare,2019
'Til Debt Do Us Part,2020
Becoming the Dark Hero's Daughter,2021
Hanakoi Tsurane,2015
Terror Man - Part 2,2018
Koi Dano Ai Dano,2009
Neko no You na Nanika,2020
Miss Guillotine,2015
Spiritpact,2016
The Decade of Deep Love (Novel),2018
Is It Wrong to Try to Pick Up Girls in a Dungeon? Sword Oratoria,2014
Daily Report About My Witch Senpai,2018
Candy Color Paradox,2009
Sora & Haena: Side Story,2021
Only Need to Love Once,2020
Historie,2003
My Boy,2015
"Watashi ga Koibito ni Nareru Wake Naijan, Murimuri! (Light Novel)",2020
Stargazing Dog,2008
Another (Light Novel),2009
Refund High School,2018
A Returner's Magic Should Be Special,2018
The Beloved Little Princess,2020
Red Storm,2012
Little Mushroom (Novel),2019
Coppelia's Coffin,2021
Whispered Words,2007
Totally Captivated,2007
Koimonogatari: Love Tale (Light Novel),2011
Nura: Rise of the Yokai Clan,2008
Aimai na Wolf,2020
"Maou ni Natta node, Dungeon Tsukutte Jingai Musume to Honobono suru",2018
Dahlia in Bloom: Crafting a Fresh Start with Magical Tools (Light Novel),2018
Amagami wo Kimi ni,2021
Guardian (Novel),2012
unTOUCHable,2014
Fist Demon of Mount Hua,2021
Mushoku Tensei: Jobless Reincarnation - Depressed Magician,2021
Shin Angyo Onshi,2001
"Goodbye, My Rose Garden",2018
We're On Our Own From Here,2019
Let's be a Family!!,2016
Umineko WHEN THEY CRY Episode 4: Alliance of the Golden Witch,2009
Crows,1990
An Hour of Romance,2020
My Broken Mariko,2019
I Can't Believe I Slept With You!,2019
Escape Room - Part 3,2021
Noroiko no Meshitsukai,2020
Knight Fantasy Night,2013
The Love Doctor,2016
Escape Room - Part 2,2020
Onani Master Kurosawa,2007
Biting The Tiger,2019
The Demon Girl Next Door,2014
Miss Kobayashi's Dragon Maid,2013
Kill the Hero,2020
Shrink: Seishinkai Yowai,2019
Sun-Ken Rock,2006
Biting the Tiger: Side Stories,2020
Date a Live (Light Novel),2011
I Became the Stepmother of My Ex-husband (Novel),2018
My Three Thousand Years To The Sky,2019
The Lord of Coins,2021
Queen's Quality,2015
Full Metal Panic! (Light Novel),1998
Asterism,2020
Regina Rena: To the Unforgiven,2021
His Majesty's Secret Heroine,2018
Our Not-So-Lonely Planet Travel Guide,2019
Twilight Out of Focus,2018
"Bitch, I'm a Young Lady with Hax",2018
Private Devil Puppy,2019
Memoir of the God of War,2021
K: Memory of Red,2012
Full Volume,2021
Niwatori Fighter,2020
Tsuki ga Michibiku Isekai Douchuu (Light Novel),2013
I Am the Real One,2020
Death Progress Bar (Novel),2018
False Memories (Gpiee LEE),2018
Grimgar of Fantasy and Ash (Light Novel),2013
Futari Ashita mo Sorenari ni,2019
"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",2020
Saiyuki,1997
My Sister Picked Up the Male Lead (Novel),2019
In the Land of Leadale (Light Novel),2019
My Life as a Loser,2019
Devils' Line,2013
Secret Alliance,2019
A Condition Called Love,2017
Cardcaptor Sakura: Clear Card,2016
Ore no Shibou Flag ga Todomaru Tokoro wo Shiranai,2020
Keep Your Hands Off Eizouken!,2016
Chillin' in Another World with Level 2 Super Cheat Powers,2019
Miss Not-So Sidekick: Epilogue,2021
Only Serious About You,2008
Mushoku Tensei: Jobless Reincarnation,2014
The Villainess's Daughter (Novel),2020
Come to Hand,2019
I Hear The Sunspot: Shunkashuutou,2020
Firefighter! Daigo of Fire Company M,1995
A Silent Voice Special Book,2016
I'm the Grim Reaper,2019
Miss Time,2020
The Unquenchable Mr. Kim,2018
Thriller Trainee (Novel),2020
The Promised Neverland: Senyuu-tachi no Record (Light Novel),2020
"Don't Get Me Wrong, I'm the Real Victim!",2021
Danzi,2015
Weathering With You (Novel),2019
"Hyung, You're My Idol - Specials",2020
Subaru,2000
Our Precious Conversations,2015
Blue Sky Complex,2013
"Susu, Han",2017
Living-Room Matsunaga-san,2016
Blood on the Tracks,2017
Hypnosis Mic: Division Rap Battle - side F.P & M,2018
I’m Not Human (Novel),2019
His Place,2018
Divine Damnation - Part 2,2019
Yaiteru Futari,2020
Is It Wrong to Try to Pick Up Girls in a Dungeon? Sword Oratoria (Light Novel),2014
